[Wed Jun 12 13:28:20.963920 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  45. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:28-36}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Middleware/SubstituteBindings.php:41, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963927 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  46. Illuminate\\Routing\\Router->Illuminate\\Routing\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Router.php:678-682}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963933 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  47. Illuminate\\Routing\\Route->run() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Router.php:680, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963939 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  48. Illuminate\\Routing\\Route->runController() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Route.php:176, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963945 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  49. Illuminate\\Routing\\ControllerDispatcher->dispatch() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Route.php:219, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963951 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  50. LaraManager\\Http\\Controllers\\Cliente\\ClienteController->callAction() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:45, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963958 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  51. call_user_func_array:{/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963965 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  52. LaraManager\\Http\\Controllers\\Cliente\\ClienteController->save() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963970 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  53. spl_autoload_call() /Users/carlosdasilva/Sites/laramanager/backend/app/Http/Controllers/Cliente/ClienteController.php:30, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963976 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  54. Composer\\Autoload\\ClassLoader->loadClass() /Users/carlosdasilva/Sites/laramanager/backend/app/Http/Controllers/Cliente/ClienteController.php:30, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963982 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  55. Composer\\Autoload\\includeFile() /Users/carlosdasilva/Sites/laramanager/backend/vendor/composer/ClassLoader.php:322, referer: http://laramanager.dev.br/
